"customerid","name","mostrecentclaimdate","mostrecentclaimamount","totalclaims","totalclaimamount"
199,"Sarah Rodriguez",NULL,NULL,"0",NULL
75,"Chris Brown","2021-06-15","36762.47","4","127231.10"
123,"David Davis","2021-05-04","10399.70","1","10399.70"
128,"Sarah Martinez","2021-04-13","44770.10","1","44770.10"
126,"Laura Brown",NULL,NULL,"0",NULL
194,"John Martinez",NULL,NULL,"0",NULL
166,"Sarah Jones",NULL,NULL,"0",NULL
99,"Michael Jones",NULL,NULL,"0",NULL
142,"Laura Johnson","2021-06-28","23637.36","2","32816.56"
41,"Emily Rodriguez","2021-12-05","44894.92","3","81424.98"
152,"Sarah Johnson","2021-12-22","19403.74","2","35915.75"
46,"John Brown",NULL,NULL,"0",NULL
157,"Michael Davis","2021-01-23","22380.54","1","22380.54"
53,"Anna Williams",NULL,NULL,"0",NULL
32,"Alex Rodriguez",NULL,NULL,"0",NULL
7,"John Miller","2021-10-11","27928.02","1","27928.02"
183,"Jane Martinez",NULL,NULL,"0",NULL
100,"Anna Williams",NULL,NULL,"0",NULL
38,"Chris Martinez",NULL,NULL,"0",NULL
136,"David Miller",NULL,NULL,"0",NULL
150,"Chris Jones",NULL,NULL,"0",NULL
140,"David Garcia",NULL,NULL,"0",NULL
139,"Alex Miller","2021-12-14","34633.38","6","127086.49"
193,"David Smith","2021-10-19","818.04","1","818.04"
12,"Emily Brown",NULL,NULL,"0",NULL
164,"Emily Davis","2021-03-19","30144.99","1","30144.99"
137,"Anna Johnson","2021-08-27","34533.77","1","34533.77"
78,"Jane Williams",NULL,NULL,"0",NULL
24,"Jane Brown",NULL,NULL,"0",NULL
191,"Michael Williams","2021-04-09","9415.66","1","9415.66"
159,"Michael Miller",NULL,NULL,"0",NULL
25,"John Miller","2021-12-25","30045.05","3","66590.58"
141,"Sarah Garcia","2021-09-20","36045.34","3","42181.10"
122,"Michael Brown","2021-02-09","37968.27","1","37968.27"
94,"John Martinez","2021-02-10","31700.51","1","31700.51"
154,"Michael Garcia",NULL,NULL,"0",NULL
186,"Emily Jones","2021-11-05","47205.77","2","92602.48"
49,"Sarah Rodriguez",NULL,NULL,"0",NULL
47,"John Miller",NULL,NULL,"0",NULL
20,"Emily Rodriguez",NULL,NULL,"0",NULL
177,"Alex Miller",NULL,NULL,"0",NULL
182,"Jane Rodriguez",NULL,NULL,"0",NULL
33,"Jane Williams","2021-10-12","4037.12","1","4037.12"
1,"Anna Martinez",NULL,NULL,"0",NULL
76,"Alex Brown","2021-09-02","42637.47","1","42637.47"
106,"Michael Williams","2021-08-23","9291.03","1","9291.03"
18,"Laura Rodriguez",NULL,NULL,"0",NULL
64,"David Rodriguez",NULL,NULL,"0",NULL
185,"Emily Jones","2021-11-22","36691.38","1","36691.38"
110,"Alex Williams",NULL,NULL,"0",NULL
178,"Jane Garcia",NULL,NULL,"0",NULL
145,"Emily Smith","2021-11-26","10155.42","4","18138.92"
55,"David Jones","2021-07-26","39092.26","1","39092.26"
27,"Anna Garcia",NULL,NULL,"0",NULL
129,"Michael Williams",NULL,NULL,"0",NULL
130,"Sarah Miller","2021-08-06","36466.36","2","58929.40"
148,"Jane Miller","2021-07-14","28669.70","2","36055.17"
143,"John Brown",NULL,NULL,"0",NULL
23,"Laura Rodriguez",NULL,NULL,"0",NULL
